,title,year,runtime[min],genres,averagerating,numvotes,domestic_gross,foreign_gross,total_gross,genre0,genre1,genre2
73,Jurassic World,2015,124.0,"Action,Adventure,Sci-Fi",7.0,539338,652300000.0,1019.4,652301019.4,Action,Adventure,Sci-Fi
74,Thor: The Dark World,2013,112.0,"Action,Adventure,Fantasy",6.9,540996,206400000.0,438200000.0,644600000.0,Action,Adventure,Fantasy
75,Moana,2016,107.0,"Adventure,Animation,Comedy",7.6,224253,248800000.0,394600000.0,643400000.0,Adventure,Animation,Comedy
76,Sing,2016,108.0,"Animation,Comedy,Family",7.1,115951,270400000.0,363800000.0,634200000.0,Animation,Comedy,Family
77,The Martian,2015,144.0,"Adventure,Drama,Sci-Fi",8.0,680116,228400000.0,401700000.0,630100000.0,Adventure,Drama,Sci-Fi
78,Fast Five,2011,130.0,"Action,Crime,Thriller",7.3,329892,209800000.0,416300000.0,626100000.0,Action,Crime,Thriller
79,Iron Man 2,2010,124.0,"Action,Adventure,Sci-Fi",7.0,657690,312400000.0,311500000.0,623900000.0,Action,Adventure,Sci-Fi
80,Ant-Man And The Wasp,2018,118.0,"Action,Adventure,Comedy",7.1,244024,216600000.0,406000000.0,622600000.0,Action,Adventure,Comedy
81,How To Train Your Dragon 2,2014,102.0,"Action,Adventure,Animation",7.8,278205,177000000.0,444500000.0,621500000.0,Action,Adventure,Animation
82,Life Of Pi,2012,127.0,"Adventure,Drama,Fantasy",7.9,535836,125000000.0,484000000.0,609000000.0,Adventure,Drama,Fantasy
83,Transformers: The Last Knight,2017,154.0,"Action,Adventure,Sci-Fi",5.2,119007,130199999.0,475300000.0,605499999.0,Action,Adventure,Sci-Fi
84,Tangled,2010,100.0,"Adventure,Animation,Comedy",7.8,366366,200800000.0,391000000.0,591800000.0,Adventure,Animation,Comedy
85,The Croods,2013,98.0,"Action,Adventure,Animation",7.2,176699,187200000.0,400000000.0,587200000.0,Action,Adventure,Animation
86,The Hangover Part Ii,2011,102.0,"Comedy,Mystery",6.5,432800,254500000.0,332300000.0,586800000.0,Comedy,Mystery,
87,Ready Player One,2018,140.0,"Action,Adventure,Sci-Fi",7.5,301660,137700000.0,445200000.0,582900000.0,Action,Adventure,Sci-Fi
88,Operation Red Sea,2018,142.0,"Action,Drama,Thriller",6.7,4624,1500000.0,577700000.0,579200000.0,Action,Drama,Thriller
89,Fifty Shades Of Grey,2015,125.0,"Drama,Romance,Thriller",4.1,279126,166200000.0,404800000.0,571000000.0,Drama,Romance,Thriller
90,Kong: Skull Island,2017,118.0,"Action,Adventure,Fantasy",6.6,237720,168100000.0,398600000.0,566700000.0,Action,Adventure,Fantasy
